Semana,chuva: (Brasil)
2019-10-13,37
2019-10-20,50
2019-10-27,49
2019-11-03,44
2019-11-10,51
2019-11-17,46
2019-11-24,47
2019-12-01,40
2019-12-08,45
2019-12-15,40
2019-12-22,38
2019-12-29,59
2020-01-05,55
2020-01-12,51
2020-01-19,100
2020-01-26,79
2020-02-02,65
2020-02-09,91
2020-02-16,64
2020-02-23,63
2020-03-01,68
2020-03-08,41
2020-03-15,44
2020-03-22,55
2020-03-29,47
2020-04-05,41
2020-04-12,41
2020-04-19,53
2020-04-26,38
2020-05-03,45
2020-05-10,42
2020-05-17,42
2020-05-24,40
2020-05-31,38
2020-06-07,34
2020-06-14,33
2020-06-21,59
2020-06-28,43
2020-07-05,35
2020-07-12,33
2020-07-19,28
2020-07-26,36
2020-08-02,26
2020-08-09,36
2020-08-16,58
2020-08-23,30
2020-08-30,30
2020-09-06,33
2020-09-13,40
2020-09-20,50
2020-09-27,43
2020-10-04,52
2020-10-11,43
2020-10-18,52
2020-10-25,53
2020-11-01,44
2020-11-08,44
2020-11-15,46
2020-11-22,41
2020-11-29,43
2020-12-06,45
2020-12-13,44
2020-12-20,40
2020-12-27,49
2021-01-03,40
2021-01-10,44
2021-01-17,45
2021-01-24,40
2021-01-31,41
2021-02-07,48
2021-02-14,46
2021-02-21,46
2021-02-28,43
2021-03-07,39
2021-03-14,36
2021-03-21,35
2021-03-28,37
2021-04-04,30
2021-04-11,35
2021-04-18,39
2021-04-25,32
2021-05-02,36
2021-05-09,39
2021-05-16,30
2021-05-23,32
2021-05-30,35
2021-06-06,38
2021-06-13,32
2021-06-20,31
2021-06-27,30
2021-07-04,25
2021-07-11,27
2021-07-18,27
2021-07-25,41
2021-08-01,27
2021-08-08,36
2021-08-15,32
2021-08-22,42
2021-08-29,36
2021-09-05,42
2021-09-12,43
2021-09-19,41
2021-09-26,48
2021-10-03,52
2021-10-10,63
2021-10-17,71
2021-10-24,47
2021-10-31,52
2021-11-07,46
2021-11-14,45
2021-11-21,39
2021-11-28,46
2021-12-05,47
2021-12-12,53
2021-12-19,45
2021-12-26,85
2022-01-02,82
2022-01-09,87
2022-01-16,51
2022-01-23,57
2022-01-30,73
2022-02-06,54
2022-02-13,71
2022-02-20,47
2022-02-27,51
2022-03-06,47
2022-03-13,53
2022-03-20,56
2022-03-27,59
2022-04-03,46
2022-04-10,43
2022-04-17,46
2022-04-24,39
2022-05-01,47
2022-05-08,38
2022-05-15,48
2022-05-22,53
2022-05-29,88
2022-06-05,47
2022-06-12,40
2022-06-19,40
2022-06-26,32
2022-07-03,34
2022-07-10,37
2022-07-17,30
2022-07-24,33
2022-07-31,37
2022-08-07,49
2022-08-14,59
2022-08-21,36
2022-08-28,38
2022-09-04,42
2022-09-11,54
2022-09-18,57
2022-09-25,73
2022-10-02,50
2022-10-09,53
2022-10-16,53
2022-10-23,52
2022-10-30,58
2022-11-06,59
2022-11-13,56
2022-11-20,50
2022-11-27,76
2022-12-04,51
2022-12-11,54
2022-12-18,62
2022-12-25,58
2023-01-01,66
2023-01-08,60
2023-01-15,53
2023-01-22,48
2023-01-29,50
2023-02-05,54
2023-02-12,59
2023-02-19,90
2023-02-26,45
2023-03-05,58
2023-03-12,55
2023-03-19,48
2023-03-26,45
2023-04-02,43
2023-04-09,40
2023-04-16,45
2023-04-23,41
2023-04-30,39
2023-05-07,33
2023-05-14,29
2023-05-21,34
2023-05-28,40
2023-06-04,27
2023-06-11,62
2023-06-18,32
2023-06-25,31
2023-07-02,34
2023-07-09,37
2023-07-16,30
2023-07-23,30
2023-07-30,24
2023-08-06,33
2023-08-13,35
2023-08-20,42
2023-08-27,45
2023-09-03,50
2023-09-10,42
2023-09-17,35
2023-09-24,48
2023-10-01,59
2023-10-08,55
2023-10-15,45
2023-10-22,48
2023-10-29,60
2023-11-05,37
2023-11-12,60
2023-11-19,61
2023-11-26,51
2023-12-03,45
2023-12-10,53
2023-12-17,56
2023-12-24,45
2023-12-31,57
2024-01-07,55
2024-01-14,59
2024-01-21,76
2024-01-28,45
2024-02-04,40
2024-02-11,54
2024-02-18,61
2024-02-25,42
2024-03-03,42
2024-03-10,34
2024-03-17,65
2024-03-24,49
2024-03-31,39
2024-04-07,37
2024-04-14,44
2024-04-21,32
2024-04-28,62
2024-05-05,60
2024-05-12,43
2024-05-19,43
2024-05-26,44
2024-06-02,32
2024-06-09,28
2024-06-16,28
2024-06-23,26
2024-06-30,26
2024-07-07,39
2024-07-14,25
2024-07-21,23
2024-07-28,28
2024-08-04,33
2024-08-11,26
2024-08-18,31
2024-08-25,34
2024-09-01,34
2024-09-08,50
2024-09-15,57
2024-09-22,48
2024-09-29,42
2024-10-06,62
2024-10-13,49
